Навык,Роль,Ожидаемый результат,Контекст,Уровень компетенции
Самостоятельное решение задач,Back-end Developer Junior L1,Решает детализированные задачи с постоянным использованием готовых инструкций по каждому шагу,Работа по готовым алгоритмам без отклонений,Базовое понимание без самостоятельных решений
Самостоятельное решение задач,Back-end Developer Junior L2,Решает детализированные задачи с частичной самостоятельностью,Работа с менее детализированными заданиями,Частичная самостоятельность в планировании
Самостоятельное решение задач,Back-end Developer Junior L3,Самостоятельно решает типовые детализированные задачи,Работа с минимальной детализацией в заданиях,Самостоятельное планирование решения
Изучение и освоение инструментов,Back-end Developer Junior L1,Изучает используемые инструменты и системы; осваивает язык программирования и базовые инструменты,Базовое использование без настройки,Освоение готовых решений
Изучение и освоение инструментов,Back-end Developer Junior L2,Изучает новые инструменты по мере необходимости,Активное использование инструментов,Адаптация инструментов под задачи
Изучение и освоение инструментов,Back-end Developer Junior L3,Самостоятельно выбирает и осваивает подходящие инструменты,Оптимизация рабочего процесса,Выбор оптимальных решений
Работа с системой контроля версий,Back-end Developer Junior L1,Выполняет базовые операции в Git: commit push pull,Следование принятым в команде стандартам,Базовые операции
Работа с системой контроля версий,Back-end Developer Junior L2,Эффективно использует Git для управления задачами,Работа с ветками и слиянием,Продвинутые операции
Работа с системой контроля версий,Back-end Developer Junior L3,Оптимизирует Git workflow для команды,Улучшение процессов разработки,Экспертное использование
Следование стандартам кодирования,Back-end Developer Junior L1,Следует базовым стандартам именования,Простые соглашения по коду,Базовое следование
Следование стандартам кодирования,Back-end Developer Junior L2,Пишет код в соответствии с принятым code style,Соблюдение code style guide проекта,Сознательное следование
Следование стандартам кодирования,Back-end Developer Junior L3,Предлагает простые улучшения кода на основе принятого code style,Улучшение стандартов команды,Активное участие в развитии
Планирование и оценка задач,Back-end Developer Junior L1,Участвует в планировании под руководством,Помощь в оценке знакомых задач,Базовое участие
Планирование и оценка задач,Back-end Developer Junior L2,Участвует в планировании и оценке задач,Участие в планировании спринтов,Активное участие
Планирование и оценка задач,Back-end Developer Junior L3,Самостоятельно оценивает и планирует задачи,Помощь в планировании команды,Самостоятельное планирование 
