Роль,Действие,Навык,Описание,Контекст роли,Уровень
Back-end Developer Junior L1 (.NET PHP),Решает детализированные задачи с постоянным использованием готовых инструкций,Чтение и понимание технических заданий,Способность читать детализированные технические задания и следовать пошаговым инструкциям,Junior разработчик работает с максимально детализированными задачами,L1 - базовое понимание без самостоятельных решений
Back-end Developer Junior L1 (.NET PHP),Решает детализированные задачи с постоянным использованием готовых инструкций,Следование инструкциям и чек-листам,Точное выполнение готовых инструкций по каждому шагу задачи,Работа по готовым алгоритмам без отклонений,L1 - строгое следование без модификаций
Back-end Developer Junior L1 (.NET PHP),Решает детализированные задачи с постоянным использованием готовых инструкций,Базовое понимание алгоритмов,Понимание простых алгоритмических конструкций и их реализации,Реализация стандартных алгоритмов по готовым схемам,L1 - понимание без оптимизации
Back-end Developer Junior L1 (.NET PHP),Изучает используемые инструменты и системы,Изучение IDE и инструментов разработки,Освоение базовых функций среды разработки отладчика профилировщика,Работа с Visual Studio VS Code базовые плагины,L1 - базовое использование без настройки
Back-end Developer Junior L1 (.NET PHP),Изучает используемые инструменты и системы,Изучение системы контроля версий,Понимание принципов работы Git изучение основных команд,Работа с репозиториями понимание ветвления,L1 - базовое понимание без сложных операций
Back-end Developer Junior L1 (.NET PHP),Изучает используемые инструменты и системы,Изучение фреймворков и библиотек,Освоение базовых возможностей используемых фреймворков,.NET Framework/Core Entity Framework базовые библиотеки,L1 - использование готовых решений
Back-end Developer Junior L1 (.NET PHP),Осваивает язык программирования и базовые инструменты,Синтаксис языка программирования,Изучение синтаксиса C# PHP понимание основных конструкций,Написание простого кода без сложных паттернов,L1 - базовый синтаксис простые конструкции
Back-end Developer Junior L1 (.NET PHP),Осваивает язык программирования и базовые инструменты,Базовые структуры данных,Понимание и использование массивов списков словарей,Работа с простыми структурами данных,L1 - использование готовых структур
Back-end Developer Junior L1 (.NET PHP),Осваивает язык программирования и базовые инструменты,Базовые алгоритмы,Понимание циклов условий функций,Реализация простых алгоритмов,L1 - базовые алгоритмические конструкции
Back-end Developer Junior L1 (.NET PHP),Выполняет базовые операции в Git,Базовые команды Git,Выполнение commit push pull checkout,Работа с локальным репозиторием и удаленным,L1 - стандартные операции
Back-end Developer Junior L1 (.NET PHP),Выполняет базовые операции в Git,Создание и оформление коммитов,Написание понятных сообщений коммитов группировка изменений,Следование принятым в команде стандартам,L1 - базовое оформление
Back-end Developer Junior L2 (.NET),Решает детализированные задачи с частичной самостоятельностью,Самостоятельный анализ простых задач,Способность самостоятельно разбивать простые задачи на подзадачи,Работа с менее детализированными заданиями,L2 - частичная самостоятельность в планировании
Back-end Developer Junior L2 (.NET),Решает детализированные задачи с частичной самостоятельностью,Применение готовых решений,Выбор и адаптация готовых решений для типовых задач,Использование паттернов и библиотек,L2 - адаптация без создания новых решений
Back-end Developer Junior L2 (.NET),Пишет код в соответствии с принятым code style,Следование стандартам кодирования,Применение принятых в проекте стандартов именования форматирования,Соблюдение code style guide проекта,L2 - сознательное следование стандартам
Back-end Developer Junior L2 (.NET),Пишет код в соответствии с принятым code style,Использование линтеров и форматтеров,Настройка и использование инструментов автоматического форматирования,Работа с StyleCop ReSharper ESLint,L2 - активное использование инструментов
Back-end Developer Junior L2 (.NET),Участвует в планировании и оценке задач,Оценка времени выполнения,Способность оценить время на выполнение знакомых задач,Участие в планировании спринтов,L2 - оценка на основе опыта
Back-end Developer Junior L2 (.NET),Участвует в планировании и оценке задач,Выявление рисков в задачах,Определение потенциальных сложностей в знакомых задачах,Помощь в планировании и выявлении блокеров,L2 - базовое понимание рисков
Back-end Developer Junior L3 (.NET),Самостоятельно решает типовые детализированные задачи,Самостоятельное планирование решения,Способность самостоятельно планировать подход к решению типовых задач,Работа с минимальной детализацией в заданиях,L3 - самостоятельное планирование
Back-end Developer Junior L3 (.NET),Самостоятельно решает типовые детализированные задачи,Применение паттернов проектирования,Использование базовых паттернов (Singleton Factory Repository),Структурирование кода по известным паттернам,L3 - применение готовых паттернов
Back-end Developer Junior L3 (.NET),Самостоятельно решает типовые детализированные задачи,Отладка и тестирование,Написание простых тестов отладка собственного кода,Обеспечение качества собственного кода,L3 - базовое тестирование
Back-end Developer Junior L3 (.NET),Предлагает простые улучшения кода,Анализ качества кода,Выявление очевидных проблем в коде (дублирование сложность),Предложение улучшений в рамках своей области,L3 - выявление простых проблем
Back-end Developer Junior L3 (.NET),Предлагает простые улучшения кода,Рефакторинг простого кода,Упрощение и улучшение читаемости простых участков кода,Улучшение собственного кода и простых участков,L3 - простой рефакторинг 
